,ticker,name,match_rate,match_count,whole_count,average_volume,average_price
2196,6072.T,地盤ネットホールディングス,0.5833333333333334,35,60,207555.0,212.28333333333333
2199,6077.T,Ｎ・フィールド,0.7166666666666667,43,60,329318.3333333333,1175.3666666666666
2202,6081.T,アライドアーキテクツ,0.65,39,60,464163.3333333333,607.4
2213,6093.T,エスクロー・エージェント・ジャパン,0.5333333333333333,32,60,257990.0,296.4166666666667
2215,6095.T,メドピア,0.6166666666666667,37,60,431665.0,6438.333333333333
2217,6098.T,リクルートホールディングス,0.6166666666666667,37,60,3699300.0,5166.816666666667
2219,6101.T,ツガミ,0.6333333333333333,38,60,447170.0,1686.1166666666666
2222,6113.T,アマダ,0.6333333333333333,38,60,1760653.3333333333,1269.05
2227,6134.T,ＦＵＪＩ,0.6333333333333333,38,60,318310.0,2787.4666666666667
2229,6136.T,オーエスジー,0.5333333333333333,32,60,231568.33333333334,1959.2833333333333
2232,6140.T,旭ダイヤモンド工業,0.65,39,60,204931.66666666666,527.2833333333333
2233,6141.T,ＤＭＧ森精機,0.5666666666666667,34,60,1100558.3333333333,1751.8166666666666
2234,6143.T,ソディック,0.5833333333333334,35,60,385840.0,1024.6
2253,6172.T,メタップス,0.65,39,60,540468.3333333334,1220.7
2258,6177.T,ＡｐｐＢａｎｋ,0.55,33,60,751501.6666666666,193.18333333333334
2259,6178.T,日本郵政,0.65,39,60,9345256.666666666,950.3316640218098
2261,6181.T,タメニー,0.6166666666666667,37,60,725546.6666666666,167.43333333333334
2262,6182.T,ロゼッタ,0.5666666666666667,34,60,471838.3333333333,2355.7166666666667
2264,6184.T,鎌倉新書,0.5666666666666667,34,60,433141.6666666667,1107.5833333333333
2270,6191.T,エアトリ,0.5833333333333334,35,60,367083.3333333333,2094.25
2271,6192.T,ハイアス・アンド・カンパニー,0.7,42,60,473265.0,155.76666666666668
2274,6195.T,ホープ,0.6,36,60,297900.0,2287.483333333333
2276,6197.T,ソラスト,0.7166666666666667,43,60,215838.33333333334,1440.5833333333333
2278,6199.T,セラク,0.6666666666666666,40,60,364846.6666666667,1913.4333333333334
2279,6200.T,インソース,0.6166666666666667,37,60,285590.0,2329.8166666666666
2280,6201.T,豊田自動織機,0.6166666666666667,37,60,512751.6666666667,9580.333333333334
2294,6235.T,オプトラン,0.6666666666666666,40,60,402655.0,2752.483333333333
2299,6240.T,ヤマシンフィルタ,0.6,36,60,388171.6666666667,868.8833333333333
2306,6254.T,野村マイクロ・サイエンス,0.75,45,60,346275.0,3759.3333333333335
2307,6255.T,エヌ・ピー・シー,0.6333333333333333,38,60,1556726.6666666667,747.6666666666666
2311,6264.T,マルマエ,0.7333333333333333,44,60,240851.66666666666,1401.9666666666667
2313,6266.T,タツモ,0.6,36,60,248450.0,1783.1166666666666
